Date,Average_Price,Supply_Volume,Temperature,Precipitation,Wind_Speed,Air_Pressure,Rainfall_MM,USD_TO_NPR,Diesel,is_festival,imported_tomato_price,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation
2022-03-10,56.67,65700.0,17.9,0.0,9.6,1017.6,0.0,122.8,133.0,1,46.67,False,False,True,False,7.14
2022-03-11,46.67,47500.0,17.8,0.0,8.2,1016.8,0.0,122.4,133.0,1,56.67,False,False,True,False,7.14
2022-03-12,46.67,69250.0,18.2,0.0,9.6,1016.4,0.0,122.85,133.0,1,55.0,False,False,True,False,7.14
2022-03-13,45.0,88375.0,18.8,0.0,7.7,1017.5,0.0,122.85,133.0,1,45.0,False,False,True,False,7.14
2022-03-14,56.67,35506.0,20.0,0.0,7.2,1017.4,0.0,122.85,133.0,1,55.0,False,False,True,False,7.14
2022-03-15,61.0,56500.0,20.5,0.0,9.2,1014.4,0.0,122.8,133.0,1,60.0,False,False,True,False,7.14
2022-03-16,55.0,93695.0,20.2,4.6,9.2,1013.1,0.0,122.88,138.0,1,56.67,False,False,True,False,7.14
2022-03-17,65.0,107243.0,20.6,4.6,7.7,1015.8,0.0,122.33,138.0,1,55.0,False,False,True,False,7.14
2022-03-18,65.0,93260.0,20.4,0.0,6.8,1016.3,0.0,121.58,138.0,1,65.0,False,False,True,False,7.14
2022-03-19,57.5,97000.0,21.3,0.0,8.7,1014.1,0.0,121.58,138.0,1,57.5,False,False,True,False,7.14
2022-03-20,60.0,50625.0,21.0,0.0,9.0,1012.8,0.0,121.58,138.0,1,60.0,False,False,True,False,7.14
2022-03-21,65.0,55575.0,20.3,0.0,9.4,1013.4,0.0,121.58,138.0,1,65.0,False,False,True,False,7.14
2022-03-22,65.0,97350.0,19.9,0.0,8.1,1014.1,0.0,122.09,138.0,1,65.0,False,False,True,False,7.14
2022-03-23,70.0,132595.0,19.9,0.0,9.1,1014.6,0.0,122.19,138.0,1,70.0,False,False,True,False,7.14
2022-03-24,67.5,159257.5,19.85,0.15,11.25,1013.4,0.0,122.39,138.0,1,60.0,False,False,True,False,7.14
2022-03-25,65.0,185920.0,19.8,0.3,13.4,1012.2,0.0,122.49,138.0,1,65.0,False,False,True,False,7.14
2022-03-26,65.0,85960.0,19.8,0.0,8.2,1013.5,0.0,122.22,138.0,0,65.0,False,False,True,False,7.14
2022-03-27,65.0,59825.0,20.1,0.0,10.4,1016.2,0.0,122.22,138.0,0,65.0,False,False,True,False,7.14
2022-03-28,60.0,52662.5,20.15,0.0,9.75,1015.0,0.0,122.22,138.0,0,66.67,False,False,True,False,7.14
2022-03-29,55.0,45500.0,20.2,0.0,9.1,1013.8,0.0,122.16,138.0,0,55.0,False,False,True,False,7.14
2022-03-30,55.0,76280.0,20.35,0.0,9.45,1014.05,0.0,121.88,138.0,0,55.0,False,False,True,False,7.14
2022-03-31,55.0,107060.0,20.5,0.0,9.8,1014.3,0.0,121.76,138.0,0,56.67,False,False,True,False,7.14
2022-04-01,56.67,110200.0,20.8,0.0,7.1,1014.3,0.0,121.57,138.0,0,55.0,False,False,True,False,7.61
2022-04-02,56.67,106650.0,21.8,0.0,9.8,1016.2,0.0,121.57,138.0,0,56.67,False,False,True,False,7.61
2022-04-03,55.0,141475.0,22.2,0.0,8.5,1015.4,0.0,121.57,138.0,0,55.0,False,False,True,False,7.61
2022-04-04,55.0,105025.0,22.0,0.0,11.0,1014.9,0.0,121.57,138.0,0,55.0,False,False,True,False,7.61
2022-04-05,55.0,72750.0,22.3,0.0,9.4,1018.4,0.0,121.18,143.0,0,55.0,False,False,True,False,7.61
2022-04-06,65.0,80900.0,22.2,0.0,11.0,1018.6,0.0,120.88,143.0,0,65.0,False,False,True,False,7.61
2022-04-07,65.0,125650.0,21.5,0.0,10.0,1017.7,0.0,121.52,143.0,0,65.0,False,False,True,False,7.61
2022-04-08,65.0,78285.0,21.9,0.0,9.8,1016.0,0.0,121.84,143.0,0,65.0,False,False,True,False,7.61
2022-04-09,65.0,72385.0,20.2,1.0,6.5,1014.5,0.0,121.74,143.0,0,65.0,False,False,True,False,7.61
2022-04-10,75.0,79875.0,20.4,1.3,8.2,1012.6,0.0,121.74,143.0,0,75.0,False,False,True,False,7.61
2022-04-11,75.0,121975.0,21.9,0.8,8.5,1012.9,0.0,121.74,143.0,0,75.0,False,False,True,False,7.61
2022-04-12,75.0,57350.0,22.4,0.0,11.5,1013.4,0.0,121.83,143.0,0,75.0,False,False,True,False,7.61
2022-04-13,55.0,82450.0,22.4,0.0,9.0,1011.6,0.0,122.12,143.0,1,56.67,False,False,True,False,7.61
2022-04-14,66.67,107950.0,22.6,3.0,10.3,1011.2,0.0,122.19,143.0,1,76.67,False,False,True,False,7.61
2022-04-15,56.67,93750.0,22.5,0.0,8.8,1010.8,0.0,122.19,143.0,0,66.67,False,False,True,False,7.61
2022-04-16,56.67,77935.0,22.2,0.0,9.8,1011.1,0.0,122.19,143.0,0,66.67,False,False,True,False,7.61
2022-04-17,55.0,40075.0,21.8,0.0,9.5,1012.5,0.0,122.19,143.0,0,55.0,False,False,True,False,7.61
2022-04-18,55.0,76885.0,22.5,0.0,9.2,1014.8,0.0,122.19,143.0,0,65.0,False,False,True,False,7.61
2022-04-19,56.67,64475.0,21.0,0.0,10.1,1014.8,0.0,122.32,143.0,0,76.67,False,False,True,False,7.61
2022-04-20,56.67,48450.0,19.5,2.3,5.4,1014.5,0.0,122.72,143.0,0,56.67,False,False,True,False,7.61
2022-04-21,55.0,46575.0,22.1,0.3,8.2,1015.1,0.0,122.24,143.0,0,65.0,False,False,True,False,7.61
2022-04-22,56.67,59156.0,20.6,0.0,13.3,1014.6,0.0,122.14,143.0,0,56.67,False,False,True,False,7.61
2022-04-23,56.67,48750.0,21.9,1.0,9.0,1014.3,0.0,122.68,143.0,0,76.67,False,False,True,False,7.61
2022-04-24,55.0,47700.0,22.6,0.0,9.7,1012.1,0.0,122.68,143.0,0,55.0,False,False,True,False,7.61
2022-04-25,65.0,39500.0,22.8,0.0,7.0,1012.5,0.0,122.68,143.0,0,86.67,False,False,True,False,7.61
2022-04-26,56.67,16500.0,23.3,0.0,8.6,1013.9,0.0,123.01,143.0,0,76.67,False,False,True,False,7.61
2022-04-27,55.0,22200.0,22.9,0.0,9.0,1013.8,0.0,122.84,143.0,0,63.33,False,False,True,False,7.61
2022-04-28,66.67,27050.0,23.5,0.0,9.5,1015.2,0.0,122.76,143.0,0,66.67,False,False,True,False,7.61
2022-04-29,66.67,49650.0,19.9,1.5,7.5,1013.2,0.0,122.68,143.0,0,66.67,False,False,True,False,7.61
2022-04-30,66.67,8450.0,18.0,3.0,7.9,1012.2,0.0,122.59,143.0,0,66.67,False,False,True,False,7.61
2022-05-01,66.67,40175.0,21.4,0.5,7.7,1012.4,0.0,122.59,143.0,0,66.67,False,False,True,False,7.04
2022-05-02,66.67,35700.0,19.0,0.0,6.9,1011.7,0.0,122.59,143.0,0,75.0,False,False,True,False,7.04
2022-05-03,85.0,42375.0,20.7,5.1,7.4,1013.7,0.0,122.73,143.0,0,86.67,False,False,True,False,7.04
2022-05-04,76.67,33470.0,20.7,0.0,8.4,1015.3,0.0,122.73,143.0,0,76.67,False,False,True,False,7.04
2022-05-05,76.67,18125.0,20.8,25.9,7.9,1014.2,0.0,122.57,143.0,0,85.0,False,False,True,False,7.04
2022-05-06,66.67,29450.0,20.2,0.8,8.5,1014.6,0.0,122.32,143.0,0,96.67,False,False,True,False,7.04
2022-05-07,66.67,28250.0,20.2,0.0,7.6,1014.3,0.0,123.37,143.0,0,86.67,False,False,True,False,7.04
2022-05-08,65.0,31000.0,20.4,1.3,7.6,1014.1,0.0,123.37,143.0,0,75.0,False,False,True,False,7.04
2022-05-09,75.0,48675.0,21.3,0.0,7.2,1014.5,0.0,123.37,143.0,0,96.67,False,False,True,False,7.04
2022-05-10,76.67,16250.0,22.3,23.4,8.2,1013.6,0.0,124.25,143.0,0,96.67,False,False,True,False,7.04
2022-05-11,66.67,22000.0,20.8,8.9,7.4,1012.2,0.0,124.04,143.0,0,65.0,False,False,True,False,7.04
2022-05-12,65.0,11250.0,22.5,0.3,6.9,1011.1,0.0,123.89,143.0,0,86.67,False,False,True,False,7.04
2022-05-13,73.61,12958.33,22.62,0.25,7.7,1011.22,0.0,124.17,143.0,0,68.66772954924875,False,False,True,False,7.04
2022-05-14,82.22,14666.67,22.73,0.2,8.5,1011.33,0.0,124.23,143.0,0,96.67,False,False,True,False,7.04
2022-05-15,90.84,16375.0,22.85,0.15,9.3,1011.45,0.0,124.23,143.0,0,120.0,False,False,True,False,7.04
2022-05-16,99.45,18083.33,22.97,0.1,10.1,1011.57,0.0,124.23,143.0,0,95.0,False,False,True,False,7.04
2022-05-17,108.06,19791.67,23.08,0.05,10.9,1011.68,0.0,124.23,143.0,0,110.0,False,False,True,False,7.04
2022-05-18,116.67,21500.0,23.2,0.0,11.7,1011.8,0.0,124.41,143.0,0,106.67,False,False,True,False,7.04
2022-05-19,115.0,4400.0,23.5,0.0,10.2,1011.3,0.0,124.44,143.0,0,115.0,False,False,True,False,7.04
2022-05-20,115.0,2200.0,22.7,4.2,9.35,1008.85,0.0,124.67,143.0,0,115.0,False,False,True,False,7.04
2022-05-21,115.0,0.0,21.9,8.4,8.5,1006.4,0.0,124.38,143.0,0,116.67,False,False,True,False,7.04
2022-05-22,95.0,21000.0,19.5,7.6,9.2,1006.1,0.0,124.38,163.0,0,105.0,False,False,True,False,7.04
2022-05-23,125.0,11900.0,19.8,16.5,8.2,1008.6,0.0,124.38,163.0,0,125.0,False,False,True,False,7.04
2022-05-24,115.0,11500.0,21.5,0.0,6.2,1012.7,0.0,124.33,163.0,0,110.0,False,False,True,False,7.04
2022-05-25,105.0,0.0,18.5,49.8,6.2,1013.5,0.0,124.44,163.0,0,105.0,False,False,True,False,7.04
2022-05-26,108.89,0.0,19.07,34.4,4.83,1011.83,0.0,124.35,163.0,0,105.0,False,False,True,False,7.04
2022-05-27,112.78,0.0,19.63,19.0,3.47,1010.17,0.0,124.43,163.0,0,105.0,False,False,True,False,7.04
2022-05-28,116.67,0.0,20.2,3.6,2.1,1008.5,0.0,124.41,163.0,0,116.67,False,False,True,False,7.04
2022-05-29,125.0,11000.0,21.3,13.6,7.8,1008.8,0.0,124.41,163.0,0,125.0,False,False,True,False,7.04
2022-05-30,115.0,2400.0,22.8,1.5,6.5,1008.9,0.0,124.41,163.0,0,135.0,False,False,True,False,7.04
2022-05-31,140.0,1875.0,21.5,6.9,6.2,1009.6,0.0,124.37,163.0,0,115.0,False,False,True,False,7.04
2022-06-01,150.0,3726.0,22.8,0.0,5.4,1009.8,0.0,124.53,163.0,0,125.0,False,True,False,False,6.71
2022-06-02,147.11,3766.74,22.79,0.0,5.55,1009.67,0.0,124.34,163.0,0,125.0,False,True,False,False,6.71
2022-06-03,144.21,3807.47,22.78,0.0,5.71,1009.55,0.0,124.48,163.0,0,105.0,False,True,False,False,6.71
2022-06-04,141.32,3848.21,22.77,0.0,5.86,1009.42,0.0,124.5,163.0,0,105.0,False,True,False,False,6.71
2022-06-05,138.42,3888.95,22.76,0.0,6.01,1009.29,0.0,124.5,163.0,0,95.0,False,True,False,False,6.71
2022-06-06,135.53,3929.68,22.75,0.0,6.16,1009.17,0.0,124.5,163.0,0,94.0,False,True,False,False,6.71
2022-06-07,132.63,3970.42,22.74,0.0,6.32,1009.04,0.0,124.52,163.0,0,105.0,False,True,False,False,6.71
2022-06-08,129.74,4011.16,22.73,0.0,6.47,1008.92,0.0,124.64,163.0,0,75.0,False,True,False,False,6.71
2022-06-09,126.84,4051.89,22.72,0.0,6.62,1008.79,0.0,124.68,163.0,0,75.0,False,True,False,False,6.71
2022-06-10,123.95,4092.63,22.71,0.0,6.77,1008.66,0.0,124.73,163.0,0,75.0,False,True,False,False,6.71
2022-06-11,121.05,4133.37,22.69,0.0,6.93,1008.54,0.0,124.84,163.0,0,75.0,False,True,False,False,6.71
2022-06-12,118.16,4174.11,22.68,0.0,7.08,1008.41,0.0,124.84,163.0,0,85.0,False,True,False,False,6.71
2022-06-13,115.26,4214.84,22.67,0.0,7.23,1008.28,0.0,124.84,163.0,0,95.0,False,True,False,False,6.71
2022-06-14,112.37,4255.58,22.66,0.0,7.38,1008.16,0.0,125.16,163.0,0,85.0,False,True,False,False,6.71
2022-06-15,109.47,4296.32,22.65,0.0,7.54,1008.03,0.0,125.08,163.0,0,85.0,False,True,False,False,6.71
2022-06-16,106.58,4337.05,22.64,0.0,7.69,1007.91,0.0,125.21,163.0,0,85.0,False,True,False,False,6.71
2022-06-17,103.68,4377.79,22.63,0.0,7.84,1007.78,0.0,125.22,163.0,0,86.67,False,True,False,False,6.71
2022-06-18,100.79,4418.53,22.62,0.0,7.99,1007.65,0.0,125.22,163.0,0,90.0,False,True,False,False,6.71
2022-06-19,97.89,4459.26,22.61,0.0,8.15,1007.53,0.0,125.22,163.0,0,85.0,False,True,False,False,6.71
2022-06-20,95.0,4500.0,22.6,0.0,8.3,1007.4,0.0,125.22,163.0,0,110.0,False,True,False,False,6.71
2022-06-21,86.67,14450.0,22.0,25.4,5.9,1007.2,0.0,125.07,163.0,0,110.0,False,True,False,False,6.71
2022-06-22,86.39,12041.67,22.2,23.45,5.83,1007.77,0.0,125.22,163.0,0,96.67,False,True,False,False,6.71
2022-06-23,86.11,9633.33,22.4,21.5,5.77,1008.33,0.0,125.72,163.0,0,96.67,False,True,False,False,6.71
2022-06-24,85.84,7225.0,22.6,19.55,5.7,1008.9,0.0,125.59,163.0,0,96.67,False,True,False,False,6.71
2022-06-25,85.56,4816.67,22.8,17.6,5.63,1009.47,0.0,125.66,163.0,0,95.0,False,True,False,False,6.71
2022-06-26,85.28,2408.33,23.0,15.65,5.57,1010.03,0.0,125.66,163.0,0,95.0,False,True,False,False,6.71
2022-06-27,85.0,0.0,23.2,13.7,5.5,1010.6,0.0,125.66,163.0,0,115.0,False,True,False,False,6.71
