Date,usd_sell
10/30/2024,134.83
10/31/2024,134.83
11/1/2024,134.83
11/2/2024,134.83
11/3/2024,134.83
11/4/2024,134.83
11/5/2024,134.89
11/6/2024,134.88
11/7/2024,135.16
11/8/2024,135.3
11/9/2024,135.31
11/10/2024,135.31
11/11/2024,135.31
11/12/2024,135.34
11/13/2024,135.34
11/14/2024,135.31
11/15/2024,135.34
11/16/2024,135.34
11/17/2024,135.34
11/18/2024,135.34
11/19/2024,135.32
11/20/2024,135.37
11/21/2024,135.37
11/22/2024,135.5
11/23/2024,135.42
11/24/2024,135.42
11/25/2024,135.42
11/26/2024,135.17
11/27/2024,135.23
11/28/2024,135.43
11/29/2024,135.48
11/30/2024,135.48
12/1/2024,135.48
12/2/2024,135.48
12/3/2024,135.82
12/4/2024,135.8
12/5/2024,135.89
12/6/2024,135.88
12/7/2024,135.81
12/8/2024,135.81
12/9/2024,135.81
12/10/2024,135.88
12/11/2024,136.07
12/12/2024,136.04
12/13/2024,136.08
12/14/2024,135.97
12/15/2024,135.97
12/16/2024,135.97
12/17/2024,136.09
12/18/2024,136.14
12/19/2024,136.23
12/20/2024,136.42
12/21/2024,136.33
12/22/2024,136.33
12/23/2024,136.33
12/24/2024,136.5
12/25/2024,136.63
12/26/2024,136.63
12/27/2024,136.73
12/28/2024,137.16
12/29/2024,137.16
12/30/2024,137.16
12/31/2024,137.16
1/1/2025,137.29
1/2/2025,137.34
1/3/2025,137.51
1/4/2025,137.54
1/5/2025,137.54
1/6/2025,137.54
1/7/2025,137.63
1/8/2025,137.45
1/9/2025,137.66
1/10/2025,137.66
1/11/2025,137.85
1/12/2025,137.85
1/13/2025,137.85
1/14/2025,138.83
1/15/2025,138.92
1/16/2025,138.49
1/17/2025,138.79
1/18/2025,138.88
1/19/2025,138.88
1/20/2025,138.88
1/21/2025,138.82
1/22/2025,138.83
1/23/2025,138.42
1/24/2025,138.64
1/25/2025,138.24
1/26/2025,138.24
1/27/2025,138.24
1/28/2025,138.46
1/29/2025,138.74
1/30/2025,138.77
1/31/2025,138.91
2/1/2025,138.88
2/2/2025,138.88
2/3/2025,138.88
2/4/2025,139.8
2/5/2025,139.62
2/6/2025,140.25
2/7/2025,140.43
2/8/2025,140.19
2/9/2025,140.19
2/10/2025,140.19
2/11/2025,140.27
2/12/2025,139.23
2/13/2025,139.34
2/14/2025,139.34
2/15/2025,139.22
2/16/2025,139.22
2/17/2025,139.22
2/18/2025,139.31
2/19/2025,139.43
2/20/2025,139.43
2/21/2025,138.96
2/22/2025,139.05
2/23/2025,139.05
2/24/2025,139.05
2/25/2025,139.02
2/26/2025,139.84
2/27/2025,139.84
2/28/2025,139.83
3/1/2025,140.3
3/2/2025,140.3
3/3/2025,140.3
3/4/2025,140.1
3/5/2025,139.93
3/6/2025,139.44
3/7/2025,139.69
3/8/2025,139.3
3/9/2025,139.3
3/10/2025,139.3
3/11/2025,140.04
3/12/2025,139.85
3/13/2025,139.84
3/14/2025,139.5
3/15/2025,139.5
3/16/2025,139.5
3/17/2025,139.5
3/18/2025,139.19
3/19/2025,138.82
3/20/2025,138.62
3/21/2025,138.5
3/22/2025,137.86
3/23/2025,137.86
3/24/2025,137.86
3/25/2025,137.32
3/26/2025,137.52
3/27/2025,137.44
3/28/2025,137.56
3/29/2025,137.06
3/30/2025,137.06
3/31/2025,137.06
4/1/2025,137.06
4/2/2025,137.06
4/3/2025,137.1
4/4/2025,137
4/5/2025,136.68
4/6/2025,136.68
4/7/2025,136.68
4/8/2025,137.64
4/9/2025,138.33
4/10/2025,139.01
4/11/2025,139.01
4/12/2025,137.97
4/13/2025,137.97
4/14/2025,137.97
4/15/2025,137.97
4/16/2025,137.54
4/17/2025,137.39
4/18/2025,136.9
4/19/2025,136.9
4/20/2025,136.9
4/21/2025,136.9
4/22/2025,136.51
4/23/2025,136.61
4/24/2025,136.98
4/25/2025,136.72
4/26/2025,137.03
4/27/2025,137.03
4/28/2025,137.03
4/29/2025,136.36
4/30/2025,136.73
5/1/2025,135.49
5/2/2025,135.49
5/3/2025,135.64
5/4/2025,135.64
5/5/2025,135.64
5/6/2025,135.11
5/7/2025,135.4
5/8/2025,136.03
5/9/2025,137.44
5/10/2025,136.9
5/11/2025,136.9
5/12/2025,136.9
5/13/2025,136.9
5/14/2025,136.84
5/15/2025,136.74
5/16/2025,137.19
5/17/2025,137.12
5/18/2025,137.12
5/19/2025,137.12
5/20/2025,136.95
5/21/2025,137.32
5/22/2025,137.33
5/23/2025,137.91
5/24/2025,136.65
5/25/2025,136.65
5/26/2025,136.65
5/27/2025,136.44
5/28/2025,136.84
5/29/2025,136.88
5/30/2025,137.12
5/31/2025,137.23
6/1/2025,137.23
6/2/2025,137.23
6/3/2025,136.92
6/4/2025,137.25
6/5/2025,137.75
6/6/2025,137.57
6/7/2025,137.31
6/8/2025,137.31
6/9/2025,137.31
6/10/2025,137.3
6/11/2025,137.27
6/12/2025,137.12
6/13/2025,137.27
